수집날짜,뉴스 보도 날짜,수집국가,제목,내용,링크,언론사,번역완료,카테고리
2025-12-19 17:33:16,2025-12-19T16:50:05+09:00,ja,"고속도로 진입로에 ""오른쪽으로 가세요!"" 대형 간판 설치… 역주행 사고 발생 지점, 대책 완료","[보도자료]

도치기현 나스시오바라시의 도호쿠 자동차도 상행선에서 발생한 역주행 차량과 다른 차량의 충돌 사고로 3명이 사망한 사건과 관련해, 차량이 역방향으로 진입했던 구로이소이타무로 인터체인지(IC)에서 진행되어 온 방지 대책 공사가 완료되었다. IC를 관리하는 현(県)이 19일에 발표했다.

해당 IC에서 상행선으로 진입할 때는 신호등이 있는 Y자 교차로를 길을 따라 우측으로 진행해야 하지만, 실수로 좌회전하면 상행선을 역주행하게 된다.

현은 우선 시각적인 대책을 강화했다. 신호등은 진행 가능 시 ""파란색""이었지만, ""빨간색과 오른쪽 화살표""로 변경했다. 안내판은 노면 색깔에 맞춰 ""오른쪽으로 진행!!""이라고 거대하게 표시했다. 가드레일을 늘리고, 방향을 지시하는 표지판도 다수 설치했다.

또한, 만일 역주행을 하더라도 즉시 높이 35mm의 단차로 이상을 알리는 시스템을 도입했다. 양쪽에 ""×역주행×""이라고 쓰인 빨간색 간판을 줄지어 세워, 알아차리도록 하는 노력도 기울였다.

향후, 역주행 차량에 더 큰…",http://www.asahi.com/articles/ASTDM21XDTDMUUHB00BM.html?ref=rss,아사히 신문,True,Politics
2025-12-19 17:33:17,2025-12-19T16:37:18+09:00,ja,"오사카 시장에 인체 장기 방치? 다수의 병 발견, 의료 폐기물 가능성","[보도자료]

오사카시 중앙 도매시장(오사카시 후쿠시마구) 부지 내에서 지난 9월, 인간의 장기 같은 것이 담긴 다수의 병이 방치되어 있던 사실이 수사 관계자 취재 결과 밝혀졌다.

오사카부 경찰은 병의 모양이나 특징 등으로 보아 병원 등에서 보관하던 의료 폐기물일 가능성이 있다고 보고, 누군가가 불법 투기했을 가능성을 염두에 두고 조사하고 있다.

수사 관계자에 따르면, 시장 청소 작업자가 9월 18일 오전, 부지 내 쓰레기 처리장 부근에서 골판지 상자에 담긴 다수의 병을 발견했다. 각 병 안에는 인간의 장기로 보이는 것이 들어 있었으며, 다른 시장 관계자가 부 경찰에 신고했다고 한다.

감염병 병원체가 포함되어 있을 가능성이 있는 장기 등은 전문 업체에 위탁하여 처리해야 하므로, 부 경찰은 폐기물 처리법 위반 혐의를 염두에 두고 조사하고 있다.

시에 따르면, 시장에서는 야채, 수산물, 식육류 등의 신선 식품이 취급되고 있으며, 시설 연면적은 서일본 최대 규모이다.",http://www.asahi.com/articles/ASTDM2GHPTDMPTIL003M.html?ref=rss,아사히 신문,True,Others
2025-12-19 17:33:19,2025-12-19T16:30:00+09:00,ja,"가즈오 이시구로와 마나베 슈쿠로, 왜 표기 다를까? '일본인'의 경계는 어디에","[PR]

취재 수기 오피니언 편집부・이시카와 도모야

연말에 생각한다. 보고 싶지 않은 자화상을 마주한 1년이었다고. 우리, 즉 ""일본인""이란 무엇인가, 정체성 의식을 되돌아볼 수밖에 없는 기회가 많았기 때문일지도 모른다.

왜 ""슈쿠로 마나베""가 아닌가?

참의원 선거를 휩쓴 그 슬로건만의 문제가 아니다. 예를 들어, 10일에 시상식이 있었던 노벨상을 둘러싼 보도. ""일본인 수상자는 30명"". 어? 이 30명 중 마나베 슈쿠로 씨 등 3명은 미국 국적을 가진 미국인일 텐데. 국적법에 따르면, 스스로의 의사로 외국 국적을 취득한 자는 일본 국적을 잃는다. 하지만 문부과학성도 3명을 ""우리나라 수상자""로 계산하고 있다. 그럼, 여기서 말하는 ""일본인""이란?

""외국 국적 취득자를 포함해서""라고 덧붙이거나, ""일본인""을 피해 ""일본 수상자"", ""일본으로부터의 수상자"" 등으로 표현하는 미디어도 있었지만, 어딘가 어색하다. 일본에 뿌리를 둔 타국적 보유자는 ""재일 ○○인""이라고 부르는 것이 보통일 것이다.

2017년에 일본 태생의 영국인 가즈오 이시구로 씨가 문학상을 수상했을 때, 국내 미디어는 일본과 연결지어 크게 보도했지만, 어떤 신문・TV도 문부과학성도, 그를 ""일본인"" 혹은 ""일본의"" 수상자로 세지 않았다. 5살에 영국으로 건너가 29살에 영국 국적을 취득한 이시구로 씨와, 마나베 씨 등과의 취급 차이는 어떤 기준에 근거하는가. 왜 마나베 씨 등 3명은 한자로 표기하고, 이시구로 씨는 가타카나 표기인가. 이시구로 씨를 ""일본과의 인연""으로 다루면서, 전전 대만에서 일본 국민으로서 태어나 도미 후에 화학상을 수상한 리위안저 씨에게는, 왜 언급하지 않는가. 정말 불가해한 이중 잣대다. 노벨 재단도 이제는, 수상자의 출생지나 소속처는 기재하고 있지만, 국적별 소개는 하지 않는다. 이중 국적을 인정하는 나라가 늘어, 현실적이지 않다는 판단도 있을 것이다.

""순수한 일본인""의 자화상

오피니언 면의 기획으로 취재하여…",http://www.asahi.com/articles/ASTD34CPVTD3UPQJ003M.html?ref=rss,아사히 신문,True,Politics
2025-12-19 17:33:20,2025-12-19T16:30:00+09:00,ja,"""때려 눕혀주겠다"" 동료에게 폭언한 경부보 서류 송검, 니가타현 경찰","[보도자료]

니가타현 경찰은 19일, 동료에게 폭언을 퍼붓는 등 행위를 한 50대 남성 경부보를 협박 혐의로 서류 송치하고, 파워하라에 해당한다고 판단하여 견책 처분했다고 발표했다. 경부보는 혐의를 인정하고 있다고 한다.

현 경찰에 따르면, 경부보는 10월 1일과 2일, 직장 후배인 남성 직원의 태도에 격분하여 철제 캐비닛을 두드리는 등 위협적인 행동을 하고, ""패 죽여 버릴 테니까"", ""죽어"", ""자살해"" 등 폭언을 퍼부은 혐의를 받고 있다. 협박 행위는 각각 20~30분에 걸쳐 단속적으로 반복되었다고 한다. 중재에 나선 상사의 신고로 발각되었다.

경부보는 조사에서 ""죄송합니다""라며 반성의 뜻을 밝혔으며, 동기에 대해서는 ""후배의 태도와 행동에 바보 취급당하는 것처럼 느꼈다""고 진술했다고 한다.",http://www.asahi.com/articles/ASTDM25KRTDMUOHB006M.html?ref=rss,아사히 신문,True,Politics
2025-12-19 17:33:21,2025-12-19T16:08:38+09:00,ja,[수시 업데이트] 수도권 직하 지진 발생 시? 생명을 지키기 위한 대비 요점,"[홍보]

발생이 임박했다고 여겨지는 '수도 직하 지진'. 실제 발생 시 피해 예상치가 정부의 전문가 회의에서 발표되었습니다. 사람, 집, 음식, 교통, 화장실은 어떻게 될까요? 생명을 지키기 위해서는 어떻게 대비해야 할까요? 구체적으로 알 수 있는 콘텐츠를 모았습니다.

수시로 업데이트됩니다.

새롭게 발표된 피해 예상

지난 2013년 피해 예상과 비교하면 사망자는 30%, 건물 피해는 40% 감소했습니다. 내진화 및 화재 대책이 진전되었기 때문이지만, 24년 말까지 '대략 절반'으로 줄이겠다는 목표에는 미치지 못했습니다.

피해 예상에 포함되지 않은 고층 아파트

전국에 있는 고층 아파트의 절반에 해당하는 812개 동이 도쿄, 지바, 사이타마, 가나가와 1도 3현에 집중되어 있으며, 더 늘어날 것으로 예상됩니다. 이번 피해 예상에는 고층 아파트가 포함되지 않았습니다. 내각부 담당자는 ""참조할 수 있는 데이터가 없다""고 설명합니다.

동일본 대지진을 경험한 고층 아파트 주민 르포

동일본 대지진을 경험한 고층 아파트 주민의 이야기를 되돌아보고, 지진 후에도 아파트에서 생활을 계속하기 위해 할 수 있는 일을 도쿄 내 고층 아파트의 선진 사례에서 생각해 봅니다. 흔들림과 화재에 대한 구체적인 대책도 들어봤습니다.

피해 예상을 바탕으로 정리한 각 장면

단독 주택이 붕괴하고 화재가 발생하면 연소가 확산됩니다. 아파트 등은 크게 오래 흔들리고 엘리베이터 복구에 시간이 걸립니다. 식량과 물자가 부족해 재해 지역 내외에서 사재기가 일어납니다. 철도가 끊기고 귀가 곤란자가 발생합니다.

취재한 재해 담당 기자가 해설합니다

새로운 피해 예상에서는 지진으로 인한 최대 사망자 수와 건물 피해, 귀가 곤란자 규모가 제시되었습니다. 인구가 집중된 수도권 특유의 심각한 영향이 우려됩니다. 특히 큰 영향을 받는 사람은 누구일까요? 지금부터 할 수 있는 대책은 무엇일까요?

부모가 출근 중에 지진이 발생하면…

수도권은 직장과 집이 먼 사람도 많습니다. 아이의 수업 중이나 보육 중에 대지진이 발생한 경우, 교통 기관이 멈추면 즉시 아이를 데리러 갈 수 없습니다. 어떻게 해야 할까요?",http://www.asahi.com/articles/ASTDL1H6PTDLUTIL02XM.html?ref=rss,아사히 신문,True,Others
2025-12-19 17:33:22,2025-12-19T16:00:00+09:00,ja,"수도 직하 지진 발생 시 ""아이 데리러 가기""는 현실적인가? 귀가 곤란자 840만 명","**해트 트랙으로 공유하기**

[광고]

수도 직하 지진이 발생하면 최대 840만 명의 '귀가 곤란자'가 발생할 것이라는 예측이 발표되었다. 그 안에는 일하는 부모들도 많이 포함되어 있다.

수도권은 직장과 집이 먼 사람도 많다. 아이의 수업 중이나 보육 중에 대지진이 발생했을 경우, 교통기관이 멈추면 바로 아이를 데리러 갈 수 없다. 어떻게 해야 할까?

**부모가 출근 중에 지진**

보육원의 사물함이 넘어지고 타일이 우수수 떨어졌다.

2018년 6월 18일 아침 7시 58분에 발생하여 최대 진도 6약을 기록한 오사카 북부 지진. 오사카부 이바라키시에서 주임 보육사였던 니시데 토모코 씨(48)는 흔들림을 느끼자마자 등원해 있던 원아 5명을 덮고 위에서 이불을 덮어 보호했다.

베드타운인 이바라키시. 약 20km 떨어진 오사카 시내로 출근하는 사람이 적지 않다. 원아의 부모들이 타는 통근 전철도 멈췄다.

**기사 내용**

① 부모가 출근 중 재해를 당하면

② 귀가의 위험, 지진학자가 강조

③ 동일본 대지진에서는 인계 후에 희생

④ 일제 하교의 불안

⑤ 전문가 ""최선은…""

여진에 대비하여 원아들과 가까운…",http://www.asahi.com/articles/ASTDH23T0TDHUTIL03VM.html?ref=rss,아사히 신문,True,Others
2025-12-19 17:33:23,2025-12-19T15:23:38+09:00,ja,"""루피"" 강도 사건, 간부 징역 20년 지지…도쿄 고등법원 항소 기각","[보도자료]

필리핀에 거점을 둔 특수 사기 조직이 '루피' 등을 자칭하며 강도를 지시한 사건에서, 강도치상 방조죄 등으로 기소된 조직 간부 코지마 토모노부 피고(48세)의 항소심 판결에서 도쿄 고등법원(츠지가와 야스오 재판장)은 19일, 징역 20년을 선고한 1심 도쿄 지방재판소 판결을 지지하며 피고 측의 항소를 기각했다.

판결에 따르면 피고는 2022년 10월 도쿄도 이나기시 주택에서 현금 약 3,500만 엔이 든 금고가 강탈당한 사건 등 3건의 강도 사건 실행범을 모집했다. 또한 조직이 연루된 특수 사기 사건에서 현금 회수 지시 역할 등을 맡았다.

피고 측은 항소심에서 ""징역 20년은 너무 무겁다""고 주장했지만, 판결은 ""사건의 피해 및 피고의 역할 등을 고려하면 부당하다고 할 수 없다""며 기각했다.

사건에서는 코지마 피고 외에 조직의 우두머리로 여겨지는 와타나베 유키(41세), 강도 실행범에게 범행을 지시한 것으로 여겨지는 후지타 세이야(41세), 강도 계획을 입안하고 '루피' 등을 자칭하며 실행범에게 지시한 것으로 여겨지는 이마무라 미츠토(41세) 각 피고가 조직 간부로서 기소되었다.

후지타 피고의 첫 공판은 내년 1월에 예정되어 있다. 다른 피고들의 공판 예정은 아직 정해지지 않았다.",http://www.asahi.com/articles/ASTDL52BVTDLUTIL007M.html?ref=rss,아사히 신문,True,Politics
2025-12-19 17:33:25,2025-12-19T15:21:13+09:00,ja,"사망자 1만 8천 명, 전파·소실 40만 동, 새로운 수도 직하 지진 피해 상정","[보도자료]

발생이 임박했다고 여겨지는 수도 직하 지진에 대해 정부의 전문가 회의는 19일 새로운 피해 상정 보고서를 발표했다. 지진 규모를 나타내는 매그니튜드(M) 7급의 지진이 발생하면 최악의 경우 사망자가 1만 8천 명, 전파·소실되는 건물이 40만 동에 달한다. 내각부는 올해 말까지 향후 대책을 담은 기본 계획을 수립할 예정이다.

정부는 2013년에도 피해 상정을 발표하여 사망자는 2만 3천 명, 전파·소실 건물은 61만 동으로 추정했다. 이전과 동일한 흔들림이 발생하는 조건으로 비교하면 사망자는 1만 5천 명(30% 감소), 건물 피해는 35만 6천 동(40% 감소)으로 나타났다. 내진화 및 화재 대책이 진전된 결과이다. 다만, 24년 말까지 ""대략 절반""으로 줄이겠다는 정부의 감재 목표에는 미치지 못했다.

전문가 회의는 이번에 수도 중추 기능에 가장 큰 영향을 미치는 도심 남부 직하 지진(M7.3)이 발생하여 최대 진도가 7에 도달했을 경우의 피해 규모를 추산했다.

재해 관련 사망, 1.6만~4.1만 명 예상

보고서에 따르면 인적 피해가 최악이 되는 경우는 건조한 겨울 저녁에 풍속 8미터의 바람이 불 때이다. 희생자와 건물 피해 모두 70%를 화재로 인한 피해가 차지한다. 고령화 등으로 재택률이 높아져 건물의 붕괴나 화재에 휘말리는 사람이 늘었다. 도시부의 인구 증가도 영향을 미쳤다.

다만, 주택의 내진화율이 79%(08년)에서 90%(23년)로 높아지고, 목조 건물이 밀집한 지역 중에서도 2500헥타르였던 ""지진 시 현저히 위험한 밀집 시가지""가 82% 해소(23년도)되는 등 대책이 진전되었다. 이 때문에 사망자, 건물 피해 모두 감소할 것으로 예상했다.

한편, 임해부를 중심으로 건설이 잇따르는 타워 아파트의 피해 상정은 포함되지 않았다. 과거에 큰 피해가 확인되지 않았고, 정량적인 수치로 나타낼 수 없기 때문이라고 한다.

처음으로 추정된 재해 관련 사망은 동일본 대지진(이와테현과 미야기현)과 노토 반도 지진의 사망자 수를 바탕으로 추정하여 1만 6천~4만 1천 명으로 산출되었다.

캐시리스 결제 정지 위험도

경제 피해는 83조 엔으로 추정했다. 내역으로는 주택이나 기업 사무실 등의 피재로 45조 엔, 정전이나 단수가 지속됨으로 인한 생산 및 서비스 저하로 38조 엔의 손실을 예상한다.

최근의 사회 변화를 고려하여 스마트폰 등을 이용하는 캐시리스 결제가 정지될 우려나 SNS에서 재해에 관한 유언비어가 확산되어 사회가 불안정해질 위험 등도 지적했다.

또한, 중장기적인 대책을 검토하기 위해 1923년 간토 대지진(M7.9)에 가까운 M8급의 지진에 대해서도 추산했다. 최악의 경우 사망자는 2만 3천 명, 전파·소실 건물은 41만 4천 동이 되어 더욱 큰 피해가 예상되었다.

1도 3현에는 일본 인구의 30%가 집중되어 피해가 막대해진다. 보고서는 ""국난급 재해에서는 자조·공조·공조가 일체가 됨으로써 피해를 최소화할 수 있다""고 밝히며 행정, 국민, 기업, 지역이 각각 ""자신의 일""로 여기고 구체적으로 대비하는 중요성을 강조했다.

19일 오전, 전문가 회의에서 주사를 맡은 마스다 히로야 노무라 종합 연구소 고문이 기자 회견을 했다. 마스다 씨는 ""하드웨어 정비가 중심이 되는 공조만으로는 막대한 피해량의 절반을 줄일 수 없었다. 다음 목표는 '자신의 일'을 내걸고 자조·공조를 더욱 강화해 나가는 것이다""라고 지적했다.

보고서를 받은 아카마 지로 방재 담당상은 ""진지하게 받아들인다. 정부 계획에 반영해 나가겠다""고 말했다.

정부는 새로운 피해 상정을 바탕으로 새로운 감재 목표를 담은 기본 계획을 올해 말에 각의 결정할 예정이다.

""중요한 것은 상상력"" 편집위원 사사키 에이스케의 시점

이전보다 줄었다고는 하지만 피해는 여전히 심각하다. 수도 직하 지진의 새로운 상정은 사람과 물자가 집중된 도시권을 대지진이 덮쳤을 때의 심각한 모습을 구체적으로 그려냈다.

사망 요인의 대부분을 건물 붕괴나 화재가 차지하고 있다. 이는 내진화와 밀집 지역 해소가 아직 진행 중임을 시사한다. 게다가 이러한 직접적인 사망에 필적하는 규모의 재해 관련 사망도 예상된다.

최근 10여 년 동안 인구는 증가하고 고층 빌딩이 늘었으며 스마트폰도 보급되었다. 대량의 귀가 곤란자, 엘리베이터 갇힘, 물류 및 결제 수단의 정지, 유언비어 확산 등 현대 도시의 과제는 수없이 많다.

[동영상] 수도 직하형 지진의 피해 상정 발표, 도쿄 도내 공중 촬영 = 히라노 마사히로 촬영

이번 보고서는 더욱 심각한 ""가혹 사상""도 나열했다. 수해나 혹서와의 복합 재해, 대규모 정전(블랙아웃), 공황으로 인한 군중 눈사태, 유언비어로 인한 금융 기관의 신용 불안 — 모두 일어날 수 있는 사태이다.

중요한 것은 하나의 상정에 얽매이지 않는 상상력이다. 피해 상정은 발생할 수 있는 재해의 규모감을 파악하여 방재 계획에 활용하기 위한 것으로 진원 분포도, 상정 숫자도 어디까지나 일례에 불과하다.

간토 지방은 플레이트가 겹치는 곳으로 매그니튜드(M) 7급의 지진은 어디에서든 일어날 수 있다. 이번 보고서는 이바라키현, 지바현, 사이타마현, 가나가와현 등 다양한 진원에 의한 19가지 진도 분포도 제시했다. 이 중 수도 기능에 대한 영향이 특히 큰 ""도심 남부 직하 지진""의 추계가 이번 숫자이다.

30년 이내에 70%라는 지진 발생 확률도 남간토 어딘가에서 M7급 지진이 발생할 확률이라는 점에 유의해야 한다. 간토 대지진과 같은 M8급 지진은 당분간 가능성이 낮다고 보고 중장기적인 대책으로 위치 지어져 있다.

어떤 지진이든 개개인이 대처해야 할 대비는 변하지 않는다.

건물이 무너지지 않고 가구가 넘어지지 않으면 목숨을 건질 가능성이 높다. 충분한 비축이 있으면 살던 집에서 버틸 수 있을지도 모른다.

주변의 위험을 알고 무엇이 일어날지 상상하여 대처한다. 그러한 축적이 전체 피해도 줄인다.

재해 규모가 커질수록 공조는 미치지 못하게 된다. 고령화와 인구 감소로 지원이나 복구 인력도 줄어든다. 피해량을 줄일 수 있다면 그만큼 어려움이 경감되고 지원을 집중할 수 있다.

내진화율이 100%가 되면 전파 가옥은 87% 감소한 1만 5천 동으로. 전기 화재를 막는 ""감진 차단기""의 설치율이 100%가 되면 소실 동수는 72% 감소한 7만 4천 동이 된다고 한다.

보고서는 수도 직하 지진을 ""자신의 일""로 여기고 함께 피해를 줄이도록 촉구했다.

수도가 피재되면 영향은 일본 전체에 미친다. 장기적으로는 일극 집중을 개정하고 분산을 도모해 나가는 것이 근본 대책이 된다.",http://www.asahi.com/articles/ASTDK3R4RTDKUTIL00FM.html?ref=rss,아사히 신문,True,Others
2025-12-19 17:33:26,2025-12-19T14:47:15+09:00,ja,"""응급 이송"" 보석 중인 피고인 출석 않아, 판결이 세 번째 연기","[광고]

지난 6월, 이바라키현 사카이마치의 국도 4호선에서 음주 상태로 역주행하다 사망사고를 낸 혐의(자동차 운전 사상 처벌법 위반(위험 운전 치사))로 기소된 무직 마쓰다 슌스케 피고(37)가 19일 미토지방재판소 시모쓰마지부(고바야시 아사코 재판장)에서 예정된 판결 공판에 출두하지 않았다. 변호인 측은 ""피고가 집을 나설 때 넘어져 구급차로 이송됐다""고 설명했다. 이에 따라 판결 기일은 연기되었으며, 기일 취소는 이번이 세 번째다.

기소장에 따르면 마쓰다 피고는 6월 9일 밤, 음주로 운전에 지장이 있을 수 있는 상태에서 승용차를 운전했다. 사카이마치의 국도 4호선 우회도로 하행선을 시속 92~96km로 역주행하여, 마주 오던 승용차와 정면충돌해 운전 중이던 와타비키 게이고 씨(당시 27세)를 사망하게 한 혐의를 받고 있다.

이날 오전 11시에 개정했지만, 보석 중인 마쓰다 피고의 모습은 보이지 않았고, 고바야시 재판장이 사정을 물었다. 대리인 변호사는 ""피고가 집을 나설 때 현관에서 넘어져 구급차로 이송됐다. 엑스레이 촬영 중인 상태라고 들었으며, 출두할 수 없다""고 설명하며 사과했다. 검찰 측은 ""피고의 부상 상황 등을 확인하고, 보석 취소 청구도 고려하겠다""고 밝혔다.

마쓰다 피고의 판결 기일을 두고, 당초 11월 26일로 예정되었으나 취소되었고, 재지정된 12월 9일 기일도 취소되었다. 일련의 경위에 대해 피고의 대리인 변호사는 취재에 ""일절 코멘트할 수 없다""고 말했다.",http://www.asahi.com/articles/ASTDM1PGDTDMUJHB00HM.html?ref=rss,아사히 신문,True,Politics
2025-12-19 17:33:27,2025-12-19T12:46:52+09:00,ja,"JR 하치노헤선, 30일에 전 구간 재개통... 아오모리현 동쪽 해역 지진으로 손상","[보도자료]

지난 8일 밤 아오모리현 동쪽 해역을 진원으로 발생한 지진 이후 운행이 중단된 JR하치노헤선에 대해 JR 동일본은 19일 하치노헤-구지 구간 전 노선에서 30일 오전 9시쯤 운행을 재개할 예정이라고 발표했습니다.

하치노헤선은 모토하치노헤-고나카노 구간 약 20곳에서 고가교가 손상되었습니다. 콘크리트가 떨어져 나가고 철근이 노출되는 등의 피해가 확인되었습니다. 복구 작업을 진행하여 30일에 전 노선에서 운행을 재개할 수 있을 것으로 예상됩니다. 모리오카 지사는 ""여진 등이 발생하면 계획이 변경될 수 있다""고 밝혔습니다.

JR 동일본은 22일부터 구지-사메 구간에 임시 열차를, 고가교가 피해를 입은 사메-하치노헤 구간에는 대체 버스를 각각 운행합니다.

운행 재개 전망이 발표된 후인 19일 오후, 연선 4개 시정촌의 수장들이 해당 지사를 방문하여 확실한 시행 등을 요청했습니다.

이와테현 구지시의 엔도 조이치 시장은 ""복구 목표가 생겨 안심하고 있다. 하치노헤선이 존속할 수 있을지 걱정했다. 이용 촉진에도 힘쓰고 싶다""고 말했습니다. 아오모리현 하치노헤시의 구마가이 유이치 시장은 ""신속하게 대응해 주셔서 감사하다. 지역 주민들로부터는 '폐선으로 이어지는 것은 아닌가'라는 걱정의 목소리도 있었다""고 말했습니다.",http://www.asahi.com/articles/ASTDM14MQTDMUJUB001M.html?ref=rss,아사히 신문,True,Others
