수집날짜,뉴스 보도 날짜,수집국가,제목,내용,링크,언론사
2025-12-19 17:33:16,2025-12-19T16:50:05+09:00,ja,高速入り口に「右へ進め！」巨大看板　逆走事故の現場、対策が完了,"[PR]

栃木県那須塩原市の東北自動車道上り線で逆走車が他の車と衝突するなどして3人が死亡した事故を受け、車が逆向きに入った黒磯板室インターチェンジ（IC）で進められてきた防止対策の工事が完了した。ICを管理する県が19日に発表した。

同ICで上り線に入る際は信号機のあるY字交差点を道なりに右側へ進むが、誤って左折すると上り線を逆走することになる。

県はまず視覚的な対策を強化した。信号は、進行できる場合には「青」になっていたが、「赤と右向きの矢印」になるよう改めた。案内板は路面の色に合わせ、「右へ進め!!」と巨大に表示した。ガードレールを増やし、方向を指示する看板も数多く設置した。

また、万が一逆走してもすぐに高さ35ミリの段差で異変を知らせる仕組みを導入。両サイドに「×逆走×」と書かれた赤い看板をずらりと並べ、気づいてもらう工夫もした。

今後、逆走車にさらに大きな…",http://www.asahi.com/articles/ASTDM21XDTDMUUHB00BM.html?ref=rss,아사히 신문
2025-12-19 17:33:17,2025-12-19T16:37:18+09:00,ja,大阪の市場に人間の臓器放置か、瓶多数見つかる　医療廃棄物の可能性,"[PR]

大阪市中央卸売市場（大阪市福島区）の敷地内で9月、人間の臓器のようなものが入った多数の瓶が放置されていたことが、捜査関係者への取材でわかった。

大阪府警は、瓶の形状や特徴などから、病院などで保管されていた医療廃棄物の可能性があり、何者かが不法投棄した疑いがあるとみて調べている。

捜査関係者によると、市場の清掃作業員が9月18日午前、敷地内のゴミ置き場付近で、段ボール箱に入った多数の瓶を見つけた。それぞれの瓶の中には人間の臓器のように見えるものが入っており、別の市場関係者が府警に通報したという。

感染症病原体が含まれる可能性がある臓器などは、専門業者に委託して処理する必要があり、府警は廃棄物処理法違反容疑を視野に調べている。

市によると、市場では野菜や水産物、食肉類などの生鮮食品が取り扱われ、施設の延べ床面積は西日本最大という。",http://www.asahi.com/articles/ASTDM2GHPTDMPTIL003M.html?ref=rss,아사히 신문
2025-12-19 17:33:19,2025-12-19T16:30:00+09:00,ja,カズオ・イシグロと真鍋淑郎、なぜ表記違う　「日本人」の境界どこに,"[PR]

取材考記 オピニオン編集部・石川智也

年の瀬に思う。見たくない自画像を突き付けられた1年だったな、と。自分たち、すなわち「日本人」とは何か、アイデンティティー意識を省みざるを得ない機会が多々あったからかもしれない。

なぜ「シュクロー・マナベ」ではないの？

参院選を席巻したあのスローガンのことだけではない。例えば、10日に授賞式があったノーベル賞をめぐる報道。「日本人の受賞者は30人に」。あれ？ この30人のうち真鍋淑郎さんら3人は米国籍を持つ米国人のはず。国籍法によれば、自らの意思で外国籍を取得した者は日本国籍を失う。だが、文部科学省も3人を「我が国の受賞者」にカウントしている。では、ここでいう「日本人」とは？

「外国籍取得者を含めて」と補ったり、「日本人」を避けて「日本の受賞者」「日本からの受賞者」などと表現したりするメディアもあったが、いかにも苦しい。日本にルーツを持つ他国籍保有者は「日系○○人」と呼ぶのが普通だろう。

2017年に日本生まれの英国人カズオ・イシグロさんが文学賞を受賞した際、国内メディアは日本と結びつけて大きく報じたが、どの新聞・テレビも文科省も、彼を「日本人」あるいは「日本の」受賞者には数えていない。5歳で渡英し29歳で英国籍を取得したイシグロさんと、真鍋さんらとの扱いの違いはどんな基準に基づくのか。なぜ真鍋さんら3人は漢字で表記し、イシグロさんはカタカナ表記なのか。イシグロさんを「日本とのゆかり」で扱うのに、戦前の台湾で日本国民として生まれ渡米後に化学賞を受賞した李遠哲さんには、なぜ触れないのか。なんとも不可解な二重基準だ。ノーベル財団も今や、受賞者の生誕地や所属先は記しているものの、国籍別の紹介はしていない。重国籍を認める国が増え、現実的でないという判断もあるのだろう。

「純粋な日本人」の自画像

オピニオン面の企画で取材し…",http://www.asahi.com/articles/ASTD34CPVTD3UPQJ003M.html?ref=rss,아사히 신문
2025-12-19 17:33:20,2025-12-19T16:30:00+09:00,ja,「ボコボコにしてやる」同僚に暴言の警部補を書類送検　新潟県警,"[PR]

新潟県警は19日、同僚に暴言を浴びせるなどしたとして、50歳代の男性警部補を脅迫容疑で書類送検し、パワハラに当たるとして戒告処分にしたと発表した。警部補は容疑を認めているという。

県警によると、警部補は10月1日と2日、職場の後輩に当たる男性職員の態度に腹を立て、鉄製のキャビネットをたたくなどして威嚇。「ボコボコにするからな」「死ね」「自殺しろ」などと暴言を浴びせた疑いがある。脅迫行為は、それぞれ20～30分にわたって断続的に繰り返されたという。仲介に入った上司の申告で発覚した。

警部補は調べに対し「申し訳ありませんでした」と反省の言葉を述べ、動機については「後輩の態度や振る舞いに、バカにされたように感じた」などと話しているという。",http://www.asahi.com/articles/ASTDM25KRTDMUOHB006M.html?ref=rss,아사히 신문
2025-12-19 17:33:21,2025-12-19T16:08:38+09:00,ja,【随時更新】首都直下地震が起きたら？命を守るために備えるポイント,"[PR]

発生が迫っているとされる「首都直下地震」。実際に起こったときの被害想定が、政府の有識者会議から発表されました。人や家、食べ物、交通、トイレはどうなるのか。命を守るためには、どう備えればよいのか。具体的にわかるコンテンツをまとめています。

随時、更新します。

新たに発表された被害想定

前回2013年の被害想定と比べると、死者が3割、建物被害が4割減りました。耐震化や火災対策が進んだためですが、24年度末までに「おおむね半減」させるという目標には届きませんでした。

被害想定に含まれなかったタワマン

全国に立つタワマンの半数にあたる812棟は東京、千葉、埼玉、神奈川の1都3県に集中し、さらに増える見込みです。今回の被害想定にタワマンは含まれませんでした。内閣府の担当者は「参照できるデータがない」と説明します。

東日本大震災を経験したタワマン住民へのルポ

東日本大震災を経験したタワマン住民の話を振り返り、地震後もマンションで生活を続けるためにできることを、都内のタワマンの先進例から考えます。揺れや火災への具体的な対策も聞きました。

被害想定をもとにまとめた各場面

一戸建ての家が倒壊し、火事になると延焼が広がります。マンションなどは大きく長く揺れ、エレベーターの復旧に時間がかかります。食料や物資が不足し、被災地の内外で買い占めが起きます。鉄路が断たれ、帰宅困難者が発生します。

取材した災害担当の記者が解説します

新たな被害想定では、地震による最大死者数や建物の被害、帰宅困難者の規模が示されました。人口が集中する首都圏特有の深刻な影響が懸念されています。特に大きな影響を受けるのは、どのような人たちなのでしょうか。今からできる対策とは。

親が通勤中に地震が起きたら･･･

首都圏は、職場と家が遠い人も多いです。子どもの授業中や保育中に大地震が起きた場合、交通機関が止まれば、すぐには子どもを迎えに行けません。どうすればよいのでしょうか。",http://www.asahi.com/articles/ASTDL1H6PTDLUTIL02XM.html?ref=rss,아사히 신문
2025-12-19 17:33:22,2025-12-19T16:00:00+09:00,ja,首都直下地震で「子どものお迎え」は現実的か　帰宅困難者840万人,"はてなブックマークでシェアする

[PR]

首都直下地震が起きれば、最大で840万人の「帰宅困難者」が出るという想定が発表された。その中には、働く親たちも多くいる。

首都圏は、職場と家が遠い人も多い。子どもの授業中や保育中に大地震が起きた場合、交通機関が止まれば、すぐには子どもを迎えに行けない。どうすればよいのか。

親が通勤中に地震

保育園のロッカーが倒れ、タイルがぱらぱら落ちてきた。

2018年6月18日の朝7時58分に発生し、最大震度6弱を記録した大阪北部地震。大阪府茨木市で主任保育士だった西出智子さん（48）は揺れを感じてすぐ、登園していた園児5人に覆いかぶさり、上から布団をかぶって守った。

ベッドタウンの茨木市。約20キロ先の大阪市内に通勤する人が少なくない。園児の親たちが乗る通勤電車も止まった。

この記事の内容

①親が通勤中に被災したら

②帰宅の危険、地震学者が強調

③東日本大震災では引き渡し後に犠牲

④一斉下校の不安

⑤専門家「最善は…」

余震に備えて、園児たちと近…",http://www.asahi.com/articles/ASTDH23T0TDHUTIL03VM.html?ref=rss,아사히 신문
2025-12-19 17:33:23,2025-12-19T15:23:38+09:00,ja,「ルフィ」強盗事件、幹部の懲役20年を支持　東京高裁が控訴退ける,"[PR]

フィリピンを拠点とした特殊詐欺グループが「ルフィ」などと名乗って強盗を指示したとされる事件で、強盗致傷幇助（ほうじょ）罪などに問われたグループ幹部の小島智信被告（48）の控訴審判決で、東京高裁（辻川靖夫裁判長）は19日、懲役20年とした一審・東京地裁判決を支持し、被告側の控訴を棄却した。

判決によると、被告は2022年10月に東京都稲城市の住宅で現金約3500万円が入った金庫が奪われた事件など、3件の強盗事件の実行役を集めた。また、グループが関わった特殊詐欺事件で現金回収の指示役などを務めた。

被告側は控訴審で「懲役20年は重すぎる」と主張したが、判決は「事件の被害や被告の役割などを考えれば不当だとはいえない」として退けた。

事件では、小島被告のほか、グループトップとされる渡辺優樹（41）、強盗の実行役に犯行を指示したとされる藤田聖也（41）、強盗計画を立案し「ルフィ」などと名乗って実行役に指示したとされる今村磨人（41）の各被告が、グループ幹部として起訴された。

藤田被告の初公判は来年1月に予定されている。その他の被告の公判の予定はまだ決まっていない。",http://www.asahi.com/articles/ASTDL52BVTDLUTIL007M.html?ref=rss,아사히 신문
2025-12-19 17:33:25,2025-12-19T15:21:13+09:00,ja,死者1.8万人、全壊・焼失40万棟　新たな首都直下地震被害想定,"[PR]

発生が迫っているとされる首都直下地震について、政府の有識者会議は19日、新たな被害想定をまとめた報告書を公表した。地震の規模を示すマグニチュード（M）7級の地震が起きると最悪の場合、死者が1万8千人、全壊・焼失する建物が40万棟に上る。内閣府は今年度末までに、今後の対策をまとめた基本計画を策定する予定だ。

政府は2013年にも被害想定を公表し、死者は2万3千人、全壊・焼失建物は61万棟としていた。前回と同じ揺れが生じる条件で比べると、死者は1万5千人（3割減）、建物被害が35万6千棟（4割減）。耐震化や火災対策が進んだことを受けた。ただ、24年度末までに「おおむね半減」させるという政府の減災目標には届かなかった。

有識者会議は今回、首都中枢機能に最も影響が大きい都心南部直下地震（M7.3）が発生し、最大震度が7に達した場合の被害規模を試算した。

災害関連死、1.6万～4.1万人か

報告書によると、人的被害が最悪となるのは、乾燥する冬の夕方に風速8メートルの風が吹いたケース。犠牲者と建物被害については、いずれも7割を火災による被害が占める。高齢化などによる在宅率の上昇で建物の倒壊や火災に巻き込まれる人が増えた。都市部の人口増加も影響した。

ただ、住宅の耐震化が79%（08年）から90%（23年）に高まり、木造の建物が密集する地域の中でも、2500ヘクタールあった「地震時に著しく危険な密集市街地」が82%解消（23年度）するなど、対策が進んだ。このため、死者、建物被害とも減少すると見込んだ。

一方、臨海部を中心に建設が相次ぐタワーマンションの被害想定は盛り込まれなかった。過去に大きな被害が確認されず、定量的な数値で示すことができないためという。

初めて推計された災害関連死は、東日本大震災（岩手県と宮城県）や能登半島地震の死者数をもとに推計し、1万6千～4万1千人とされた。

キャッシュレス決済停止のリスクも

経済被害は83兆円とした。内訳として、住宅や企業のオフィスなどの被災で45兆円、停電や断水が続くことなどによる生産やサービスの低下で38兆円の損失を見込む。

近年の社会変化を踏まえ、スマートフォンなどを利用するキャッシュレス決済が停止する恐れや、SNSで災害に関するデマや流言が拡散して社会が不安定化するリスクなども指摘した。

また、中長期的な対策を検討するために1923年の関東大震災（M7.9）に近いM8級の地震についても試算された。最悪の場合、死者は2万3千人、全壊・焼失建物は41万4千棟となり、さらに大きな被害が示された。

1都3県には日本の人口の3割が集中し、被害が膨大になる。報告書は「国難級の災害では、自助・共助・公助が一体となることで被害を最小限にできる」とし、行政、国民、企業、地域が、それぞれ「自分ごと」として捉え、具体的に備える重要性を強調した。

19日午前、有識者会議で主査を務めた増田寛也・野村総合研究所顧問が記者会見した。増田氏は「ハード整備が中心となる公助だけは、膨大な被害量の半減はできなかった。次の目標は、『自分ごと』を掲げて自助・共助をもっと強化していくことだ」と指摘した。

報告書を受け取った赤間二郎・防災担当相は「真摯に受け止める。政府の計画に反映させていく」と話した。

政府は、新しい被害想定を踏まえ、新たな減災目標を盛り込んだ基本計画を今年度末にも閣議決定する。

「大切なのは想像力」 編集委員・佐々木英輔の視点

前回より減ったとはいえ、被害はなお甚大だ。首都直下地震の新たな想定は、人や物が集中する都市圏を大地震が襲ったときの深刻な姿を具体的に描き出した。

死者の要因の多くを建物倒壊や火災が占めている。これは耐震化や密集地の解消が道半ばであることを示している。加えて、これらの直接死に匹敵する規模の災害関連死も見込まれている。

この10年あまりで人口は増加、高層ビルが増え、スマホも普及した。大量の帰宅困難者、エレベーター閉じ込め、物流や決済手段の停止、デマの拡散など、現代都市の課題は数多い。

【動画】首都直下型地震の被害想定発表、都内空撮＝平野真大撮影

今回の報告書は、より深刻な「過酷事象」も列挙した。水害や酷暑との複合災害、大規模停電（ブラックアウト）、パニックによる群集雪崩、デマによる金融機関の信用不安――どれも考えられる事態だ。

大切なのは、一つの想定にとらわれない想像力だ。被害想定は、起こり得る災害の規模感をつかんで防災計画に生かすためのもので、震源分布も、想定の数字も、あくまで一例に過ぎない。

関東地方はプレートがひしめき合う場所で、マグニチュード（M）7級の地震はどこでも起こり得る。今回の報告書は茨城県、千葉県、埼玉県、神奈川県など様々な震源による19通りの震度分布も示した。このうち首都機能への影響が特に大きい「都心南部直下地震」の推計が今回の数字だ。

30年以内に70%との地震発生確率も、南関東のどこかでM7級地震が起こる確率であることに注意したい。関東大震災のようなM8級地震は、当面は可能性が低いとして中長期的な対策に位置づけられている。

どんな地震であろうと、一人ひとりが取り組むべき備えは変わらない。

建物がつぶれず家具が倒れなければ、命は助かる可能性が高い。十分な備蓄があれば、住み慣れた家でしのげるかもしれない。

身の回りのリスクを知り、何が起きそうかをイメージして手を打つ。その積み重ねが、全体の被害も小さくする。

災害の規模が大きくなるほど、公助は行き届かなくなる。高齢化と人口減で支援や復興の人手も減っていく。被害の量を抑えられれば、その分だけ困難さが軽減し、支援を集中できる。

耐震化率が100%になれば全壊家屋は87%減の1万5千棟に。電気火災を防ぐ「感震ブレーカー」の設置率が100%になれば、焼失棟数は72%減の7万4千棟になるという。

報告書は首都直下地震を「自分ごと」としてとらえ、ともに被害を減らすよう呼びかけた。

首都が被災すれば、影響は日本全体に及ぶ。長期的には、一極集中を改め、分散を図っていくことが根本対策になる。",http://www.asahi.com/articles/ASTDK3R4RTDKUTIL00FM.html?ref=rss,아사히 신문
2025-12-19 17:33:26,2025-12-19T14:47:15+09:00,ja,「救急搬送された」保釈中の被告出頭せず、判決が3度目の延期に,"[PR]

茨城県境町の国道4号で6月、飲酒した状態で逆走し死亡事故を起こしたとして自動車運転死傷処罰法違反（危険運転致死）罪に問われた無職松田駿介被告（37）が、19日に水戸地裁下妻支部（小林麻子裁判官）で予定されていた判決公判に出頭しなかった。弁護側は「被告が自宅を出る時に転倒し救急搬送された」などと説明。そのため判決期日は延期に。期日の取り消しはこれで3回目だ。

起訴状などによると、松田被告は6月9日夜、飲酒の影響で運転に支障が出る恐れがあったのに乗用車を運転。同町の国道4号バイパス下り線を時速92～96キロで逆走し、前方から来た乗用車に正面衝突させて運転していた綿引圭吾さん（当時27）を死亡させた、とされる。

この日は午前11時に開廷したが、保釈中の松田被告の姿はなく、小林裁判官が事情を尋ねた。代理人弁護士は「被告が自宅を出る際に玄関で転倒し、救急搬送された。レントゲンをとっている状態だと聞いており、出頭できない」などと説明して謝罪。検察側は「被告のけがの状況などを確認し、保釈の取り消し請求も考慮する」と述べた。

松田被告の判決期日をめぐっては、当初は11月26日とされていたが取り消され、再度指定された12月9日の期日も取り消しになっていた。一連の経緯について、被告の代理人弁護士は取材に「一切コメントできない」と話した。",http://www.asahi.com/articles/ASTDM1PGDTDMUJHB00HM.html?ref=rss,아사히 신문
2025-12-19 17:33:27,2025-12-19T12:46:52+09:00,ja,JR八戸線、30日に全線再開へ　青森県東方沖地震で損傷,"[PR]

8日夜の青森県東方沖を震源とする地震後、運休が続くJR八戸線について、JR東日本は19日、八戸―久慈間の全線で30日午前9時ごろに運転再開をめざすと発表した。

八戸線は、本八戸―小中野間の約20カ所で高架橋が損傷。コンクリートが剝がれ落ち、鉄筋が露出するなどの被害が確認された。復旧作業を進め、30日に全線で運転再開できる見通しになったという。盛岡支社は「余震などがあれば、計画が変更になる場合がある」としている。

JR東日本は22日から久慈―鮫間で臨時列車、高架橋が被害を受けた鮫―八戸間は代行バスをそれぞれ運行する。

運転再開の見通しが示された後の19日午後、沿線4市町の首長らが同支社を訪れ、確実な実施などを要望した。

岩手県久慈市の遠藤譲一市長は「復旧のめどがつき、ほっとしている。八戸線が存続できるか心配していた。利用促進にも力を入れたい」。青森県八戸市の熊谷雄一市長は「早急に対応していただき、感謝している。地域住民からは『廃線につながるのでは』と心配の声も上がっていた」と話した。",http://www.asahi.com/articles/ASTDM14MQTDMUJUB001M.html?ref=rss,아사히 신문
